accuracy,precision,recall,f1_score,false_positive,false_negative,true_negative,true_positive,false_positive_rate,selection_score,ml_weight,rule_weight,threshold,model_name
0.9831243972999035,0.9803328290468987,0.9671641791044776,0.9737039819684448,13,22,1391,648,0.009259259259259259,0.9739217125562245,0.75,0.25,0.4,tuned_random_search
0.9831243972999035,0.9803328290468987,0.9671641791044776,0.9737039819684448,13,22,1391,648,0.009259259259259259,0.9739217125562245,0.8,0.19999999999999996,0.45,tuned_random_search
0.982642237222758,0.9803030303030303,0.9656716417910448,0.9729323308270676,13,23,1391,647,0.009259259259259259,0.9732284398996889,0.7,0.30000000000000004,0.4,tuned_random_search
0.982642237222758,0.9803030303030303,0.9656716417910448,0.9729323308270676,13,23,1391,647,0.009259259259259259,0.9732284398996889,0.85,0.15000000000000002,0.45,tuned_random_search
0.982642237222758,0.9788519637462235,0.9671641791044776,0.972972972972973,14,22,1390,648,0.009971509971509971,0.9730763359326736,0.8,0.19999999999999996,0.4,tuned_random_search
0.982642237222758,0.9745508982035929,0.9716417910447761,0.9730941704035875,17,19,1387,651,0.012108262108262107,0.9726352997664137,0.85,0.15000000000000002,0.4,tuned_random_search
0.9821600771456124,0.9802731411229135,0.9641791044776119,0.9721595184349134,13,24,1391,646,0.009259259259259259,0.9725345594868902,0.65,0.35,0.4,tuned_random_search
0.9821600771456124,0.9802731411229135,0.9641791044776119,0.9721595184349134,13,24,1391,646,0.009259259259259259,0.9725345594868902,0.75,0.25,0.45,tuned_random_search
0.9816779170684667,0.9802431610942249,0.9626865671641791,0.9713855421686747,13,25,1391,645,0.009259259259259259,0.9718400698824777,0.85,0.15000000000000002,0.5,tuned_random_search
0.9811957569913211,0.9802130898021308,0.9611940298507463,0.9706103993971364,13,26,1391,644,0.009259259259259259,0.9711449696463939,0.7,0.30000000000000004,0.45,tuned_random_search
0.9811957569913211,0.9802130898021308,0.9611940298507463,0.9706103993971364,13,26,1391,644,0.009259259259259259,0.9711449696463939,0.8,0.19999999999999996,0.5,tuned_random_search
0.9807135969141755,0.9801829268292683,0.9597014925373134,0.9698340874811463,13,27,1391,643,0.009259259259259259,0.9704492573338533,0.6,0.4,0.4,tuned_random_search
0.9807135969141755,0.9801829268292683,0.9597014925373134,0.9698340874811463,13,27,1391,643,0.009259259259259259,0.9704492573338533,0.65,0.35,0.45,tuned_random_search
0.9802314368370298,0.9801526717557252,0.9582089552238806,0.9690566037735849,13,28,1391,642,0.009259259259259259,0.9697529314953232,0.75,0.25,0.5,tuned_random_search
0.9802314368370298,0.9801526717557252,0.9582089552238806,0.9690566037735849,13,28,1391,642,0.009259259259259259,0.9697529314953232,0.85,0.15000000000000002,0.55,tuned_random_search
0.9797492767598843,0.9801223241590215,0.9567164179104478,0.9682779456193353,13,29,1391,641,0.009259259259259259,0.9690559906765007,0.7,0.30000000000000004,0.5,tuned_random_search
0.9797492767598843,0.9801223241590215,0.9567164179104478,0.9682779456193353,13,29,1391,641,0.009259259259259259,0.9690559906765007,0.8,0.19999999999999996,0.55,tuned_random_search
